order_id,customer_id,restaurant_id,partner_id,order_date,order_amount,delivery_time_minutes,order_status
1,1882,125,491,2023-01-21,1547,35,Delivered
2,1631,59,198,2023-05-12,1256,33,Delivered
3,1059,192,264,2023-09-18,1062,46,Delivered
4,1840,99,165,2023-09-21,318,21,Delivered
5,1959,276,274,2023-01-04,1433,19,Delivered
6,1290,110,443,2023-12-17,1018,21,Delivered
7,1698,223,332,2023-02-06,1679,58,Delivered
8,941,170,20,2023-02-14,300,18,Delivered
9,516,286,37,2023-10-22,1832,29,Delivered
10,835,199,231,2023-11-19,978,42,Cancelled
11,798,61,274,2023-01-04,1463,54,Delivered
12,1528,300,24,2023-12-25,1887,19,Delivered
13,1030,55,149,2023-12-18,767,53,Delivered
14,1568,225,196,2023-07-22,1833,57,Delivered
15,321,274,113,2023-03-11,1679,40,Delivered
16,1740,280,152,2023-11-21,445,34,Delivered
17,1873,192,491,2023-01-06,1283,50,Delivered
18,86,3,294,2023-11-02,957,49,Delivered
19,175,157,108,2023-06-26,583,41,Delivered
20,1744,263,73,2023-03-24,526,29,Cancelled
21,518,100,59,2023-04-03,1524,51,Delivered
22,1744,282,237,2023-11-27,1275,19,Cancelled
23,138,129,51,2023-04-12,1636,52,Delivered
24,678,183,66,2023-12-10,1492,30,Delivered
25,1269,36,461,2023-04-10,800,46,Delivered
26,1263,157,356,2023-10-27,462,51,Delivered
27,1655,162,491,2023-08-08,495,15,Delivered
28,1610,114,365,2023-11-25,1043,32,Delivered
29,276,170,450,2023-09-03,1097,43,Delivered
30,626,250,283,2023-02-25,509,56,Delivered
31,1724,144,440,2023-03-13,1975,49,Delivered
32,1503,40,373,2023-02-08,1977,16,Delivered
33,1294,16,417,2023-10-25,1335,40,Delivered
34,436,19,283,2023-05-14,1263,49,Delivered
35,1588,77,188,2023-07-20,607,52,Delivered
36,596,69,238,2023-09-14,1195,20,Delivered
37,1029,6,340,2023-05-03,1886,54,Delivered
38,1551,264,72,2023-08-17,476,26,Delivered
39,1159,75,377,2023-09-05,884,17,Delivered
40,999,119,33,2023-05-16,906,29,Delivered
41,424,266,465,2023-07-04,944,45,Delivered
42,1806,24,21,2023-11-29,813,21,Cancelled
43,1068,141,428,2023-05-15,1335,49,Delivered
44,772,194,188,2023-10-28,1488,19,Delivered
45,771,115,265,2023-07-27,872,37,Delivered
46,988,4,257,2023-03-13,1050,25,Delivered
47,1054,144,109,2023-03-18,532,25,Delivered
48,1470,61,339,2023-04-28,999,36,Delivered
49,987,246,246,2023-04-18,1359,25,Delivered
50,842,12,125,2023-01-23,411,51,Delivered
51,276,263,21,2023-10-21,450,18,Delivered
52,1890,93,265,2023-07-27,1377,51,Delivered
53,1800,146,485,2023-02-13,593,43,Delivered
54,966,247,88,2023-04-23,1850,41,Delivered
55,1628,299,421,2023-04-04,1426,57,Delivered
56,344,176,473,2023-08-21,1371,52,Delivered
57,775,198,68,2023-02-25,183,27,Delivered
58,1863,259,351,2023-08-03,1842,24,Delivered
59,364,244,462,2023-11-11,1378,17,Delivered
60,1089,258,386,2023-03-02,340,45,Cancelled
61,1848,277,424,2023-01-01,1986,58,Delivered
62,1070,216,190,2023-01-23,1578,48,Delivered
63,1922,247,405,2023-07-15,867,52,Delivered
64,1860,295,51,2023-08-06,424,31,Delivered
65,477,43,146,2023-11-03,1945,49,Delivered
66,388,3,364,2023-01-04,1333,48,Delivered
67,15,193,336,2023-04-16,1558,35,Delivered
68,219,80,219,2023-11-30,1348,31,Delivered
69,1098,217,290,2023-07-07,1403,32,Delivered
70,814,105,212,2023-10-10,1755,50,Cancelled
71,759,287,285,2023-09-05,669,34,Delivered
72,1586,204,377,2023-03-12,1901,57,Delivered
73,471,229,401,2023-12-25,481,21,Delivered
74,821,174,411,2023-10-09,1407,59,Delivered
75,107,83,200,2023-11-22,160,20,Delivered
76,966,223,46,2023-02-02,688,29,Delivered
77,1248,20,371,2023-07-16,970,54,Delivered
78,587,30,485,2023-03-31,1461,46,Delivered
79,414,266,147,2023-04-10,218,53,Delivered
80,1431,119,315,2023-03-28,1530,17,Delivered
81,1342,1,500,2023-03-22,327,32,Delivered
82,724,203,208,2023-10-28,560,48,Delivered
83,1442,36,471,2023-02-16,1275,33,Delivered
84,1146,299,179,2023-06-27,1820,32,Delivered
85,1973,100,233,2023-07-26,1327,15,Delivered
86,834,260,55,2023-10-14,298,47,Delivered
